fecha,monterrey,guadalupe,apodaca,sanNicolas,escobedo,juarez,santaCatarina,garcia,cadereyta,sanPedro,pesqueria,montemorelos,santiago,salinasVictoria,linares,zuazua,elCarmen,sabinasHidalgo,allende,cienegaDeF,galeana,drArroyo,generalTeran,generalBravo,china,aramberri,villaaldama,hidalgo,marin,hualahuises,cerralvo,losRamones,lampazos,anahuac,abasolo,mierYnoriega,drCoss,iturbide,losHerreras,paras,mina,higueras,bustamante,agualeguas,drGonzales,gralZaragoza,gralTreviño,vallecillo,losAldamas,mOcampo,rayones,otrosEstados
05/08,258,182,112,48,66,72,38,26,21,64,13,2,1,6,5,4,9,1,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
05/09,264,186,112,51,71,75,40,27,23,64,13,2,1,6,5,4,9,1,4,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
05/10,274,197,114,52,76,75,43,30,24,64,14,2,1,6,5,4,9,1,4,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
05/11,276,201,119,52,77,75,44,32,25,64,15,3,1,6,6,4,10,1,4,5,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48
05/12,280,212,128,52,79,83,44,33,26,64,15,3,1,6,6,4,10,1,4,5,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48
05/13,289,231,138,56,83,94,48,36,27,66,16,5,1,6,6,5,10,1,5,5,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48
05/14,299,258,147,58,86,98,50,38,27,68,16,5,4,6,6,5,10,1,5,6,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48
05/15,309,265,148,62,88,101,54,39,27,74,16,6,4,6,6,5,10,1,5,6,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49
05/16,323,283,180,66,90,108,54,43,29,79,19,6,4,6,6,6,10,2,5,7,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50
05/17,357,302,185,74,96,110,59,47,30,81,20,7,6,6,6,6,10,1,6,9,0,0,1,1,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,50
05/18,383,320,210,84,109,118,59,51,31,81,20,7,6,8,6,6,12,1,7,10,1,0,1,1,3,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,50
05/19,401,342,221,88,113,127,66,52,34,86,20,7,6,8,6,6,14,1,7,10,1,0,1,1,3,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,50
05/20,412,350,240,93,115,131,70,52,35,89,20,7,6,10,7,6,14,1,7,10,1,0,1,1,3,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,51
05/21,428,370,256,101,119,139,71,53,36,90,20,8,7,11,7,6,14,1,7,10,1,0,1,1,3,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,51
